Blog	need	less	than	think	com	media	needs	office	work	who	does	do	question	another	maybe	three	very	different	companies	company	being	e	b	where	story	along	get	app	today	read	me	know	most	popular	hard	find	now	rest	stuff	also	place	view	old	reports	change	between	web	see	re	looking	stay	same	top	before	search	something	over	recently	recent	too	hope	might	pick	left	right	better	support	name	account	home	down	project	small	link	ll	open	may	seen	twitter	other	already	so	much	back	were	done	reading	links	thanks	using	always	please	keep	coming	our	way	interesting	everyone	else	few	send	us	email	team	five	years	called	week	year	around	lot	probably	big	deal	kind	far	ve	ever	any	job	got	made	came	m	happy	because	every	day	best	pretty	world	well	into	let	just	say	post	isn	many	why	someone	saying	special	things	together	did	often	d	go	make	some	end	tell	anything	times	didn	matter	anyone	yet	after	months	would	never	working	don	case	ideas	everything	try	future	happens	hour	focus	real	great	even	ways	important	feel	while	easy	enough	here	them	during	possible	minutes	building	hours	fact	close	related	including	hand	life	example	am	wait	until	business	start	long	makes	take	care	means	early	morning	family	actually	off	through	trying	comes	co	good	night	next	doing	part	no	daily	own	want	call	doesn	having	give	space	thing	such	self	true	learned	believe	those	show	going	these	really	build	thinking	mean	course	perhaps	thought	put	making	without	smart	human	james	john	michael	idea	used	design	help	sure	nothing	which	later	problem	built	questions	number	little	gets	run	getting	had	instead	still	full	found	talking	piece	two	look	then	point	side	version	data	list	known	set	create	each	turn	update	person	once	high	feature	days	wrong	short	talk	should	shows	per	since	longer	page	experience	use	free	asked	said	must	happened	result	decided	online	community	based	members	network	helping	process	especially	ten	won	quite	again	information	yourself	write	she	her	google	second	security	state	art	system	sign	love	become	turned	almost	facebook	bit	both	hear	word	yesterday	group	he	him	went	says	ad	water	started	ask	couple	android	image	following	via	last	behind	text	immigration	former	friend	policy	america	trump	administration	president	could	young	white	only	york	women	bad	force	kids	country	monday	air	least	power	against	internet	june	cool	parents	friends	public	goes	sometimes	come	past	continue	th	writing	large	ago	its	wrote	readers	site	amazon	game	social	appeared	share	man	men	father	others	service	photos	looks	four	nbsp	heard	money	third	though	live	news	his	blog	technology	took	fun	living	results	several	simple	photo	seem	content	tools	play	within	users	youtube	fine	month	line	children	video	health	latest	stories	book	books	under	government	told	house	deep	war	age	k	rights	taking	include	available	article	away	key	percent	million	stop	watch	center	national	director	science	personal	april	announced	american	child	u	whole	filled	black	half	taken	music	seven	series	according	movie	tv	report	yes	finally	border	dark	fans	apple
Boing Boing	0	0	4	2	3	5	2	0	2	4	2	2	1	3	0	0	1	3	0	12	14	0	0	2	5	2	6	0	2	2	9	2	9	0	0	1	6	0	0	5	1	0	4	3	2	5	1	9	0	2	0	4	1	0	0	5	10	1	0	4	1	3	0	2	4	1	1	4	1	1	6	0	1	9	6	1	3	2	3	5	0	4	2	3	9	0	2	1	2	3	3	0	2	1	4	7	2	0	1	2	1	3	0	2	0	2	1	1	5	3	0	2	3	0	1	3	10	1	6	1	1	0	3	6	1	3	3	1	1	2	5	1	8	1	5	4	2	3	6	3	1	1	3	4	0	2	1	1	2	2	3	0	0	1	2	3	3	3	1	7	1	4	1	0	3	1	2	1	1	2	0	0	0	2	0	2	0	1	2	3	0	1	2	1	6	1	1	1	0	4	1	0	0	1	1	0	1	0	0	3	0	1	3	1	0	1	0	2	1	4	3	0	0	0	0	3	1	0	0	3	12	1	1	4	0	0	3	0	0	2	1	1	1	0	0	4	1	3	8	3	0	2	0	0	2	1	0	1	3	0	1	0	0	0	0	3	0	1	0	2	7	2	2	3	0	3	3	2	0	1	7	2	2	0	1	0	3	3	1	5	1	2	1	0	1	0	0	0	2	0	1	0	2	0	0	5	1	1	0	4	0	0	2	1	1	1	3	3	2	7	1	0	2	0	0	1	0	1	0	1	2	0	0	2	0	0	2	0	0	5	4	3	0	3	0	0	2	1	2	1	2	3	3	2	3	0	2	1	1	12	3	2	9	0	0	1	1	0	0	8	0	5	2	0	0	3	3	0	4	3	16	3	3	6	3	0	1	2	0	2	4	7	0	1	4	0	0	3	4	5	0	2	3	3	0	0	1	0	0	0	0	4	0	5	0	2	3	1	3	0	0	1	1	0	2	0	0	0	2	2	0	0	1	0	3	2	9	16	0	1	2	2	2	0	0	0	5	0	0	2	1	2	0	1	4	2	1	6	2	0	0	3	0	0	1	3	2	0	0	1	1	0	0	2	2	2	5	1	0	1	1	2	1	2	0	1	1	0	0	2	3	3	5	1	0	0	0	4	1	0	0	4	0	1	5	1	1	2	0	0	3
BuzzMachine	1	0	0	0	0	6	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	0	2	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	1	1	0	4	0	0	0	0	0	2	0	0	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	4	1	1	1	0	0	0	0	1	0	4	0	0	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	0	1	0	1	2	2	0	16	2	0	0	0	0	0	1	1	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	1	0	1	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	2	0	0	0	1	0	0	1	2	0	0	4	0	1	0	2	3	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	0	2	2	0	0	0	2	2	0	1	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	8	1	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	2	15	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	11	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
Captain's Quarters	0	1	2	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	2	3	3	0	1	1	1	0	0	0	0	0	0	3	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Cool Hunting	1	0	7	1	0	0	0	0	1	3	1	0	0	1	0	3	2	0	0	3	0	0	0	1	0	1	4	0	1	0	2	1	4	1	1	1	2	1	0	2	2	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	1	2	0	0	0	3	0	1	1	3	2	5	0	3	0	4	0	15	2	1	1	0	0	2	0	2	3	0	3	0	50	0	0	0	0	0	0	0	3	3	0	1	0	1	0	1	0	0	1	0	0	7	7	2	0	0	0	0	1	1	0	5	1	0	0	7	0	2	0	0	1	3	1	0	3	1	2	0	4	2	0	1	2	0	0	0	0	0	1	0	0	4	2	2	2	2	0	0	2	0	2	1	1	5	0	1	0	0	4	2	0	0	0	0	2	0	1	2	0	0	3	0	0	1	4	0	0	0	2	0	2	4	0	1	0	0	1	0	1	0	0	0	0	0	1	4	3	2	0	1	0	0	0	0	4	4	0	0	0	0	0	0	0	5	3	0	3	0	2	1	0	0	1	0	1	0	2	0	1	1	1	1	1	0	0	0	0	0	3	0	1	1	1	2	0	0	0	1	0	0	10	2	0	1	6	0	1	1	0	2	3	0	0	0	0	1	0	0	2	0	1	4	0	1	0	0	0	2	0	2	0	0	2	0	0	1	0	4	0	0	0	2	0	0	0	0	2	0	0	1	0	1	0	1	1	0	0	0	0	2	5	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	8	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	2	0	0	0	2	0	1	0	2	3	3	0	0	0	0	0	0	0	50	2	0	0	0	6	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	2	1	0	5	0	1	1	2	0	1	2	1	0	1	1	0	0	2	0	0	0	1	1	0	3	0	1	0	0	4	2	1	0	3	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Copyblogger	1	2	4	4	0	0	0	0	0	1	0	2	2	0	0	1	1	1	0	1	0	0	0	0	0	0	2	0	1	10	2	2	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	7	0	0	0	0	3	0	1	0	1	0	0	0	2	0	0	1	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	0	0	4	0	0	0	1	1	0	1	4	0	0	0	0	5	0	0	0	0	1	0	0	1	6	3	1	0	2	1	0	1	0	0	1	1	0	0	1	1	4	1	1	1	10	0	1	4	0	0	0	2	0	1	0	1	0	1	2	1	0	0	0	1	0	3	0	1	5	1	2	0	3	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	1	0	0	0	1	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	4	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	0	1	0	1	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	7	0	1	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Latest from Crooks and Liars	0	0	3	0	0	0	0	0	0	3	0	1	0	0	2	0	1	0	0	0	4	0	0	3	0	0	3	0	2	3	2	3	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	8	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	5	1	0	2	0	0	1	0	0	0	4	2	0	0	0	0	1	7	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	2	1	1	1	0	1	0	1	0	1	1	1	3	0	1	1	0	0	3	0	4	0	0	0	0	1	5	1	2	4	1	0	2	0	0	0	0	0	4	0	3	0	2	2	1	5	2	1	1	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	2	12	1	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	3	0	0	0	2	0	0	0	0	1	0	11	0	0	0	1	0	2	1	2	0	1	0	0	0	1	5	1	2	5	1	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	1	5	1	0	1	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	8	3	1	1	5	1	0	1	0	0	0	2	0	2	0	0	3	0	0	8	0	10	3	2	1	0	1	2	0	0	0	0	4	1	1	0	0	1	2	1	1	0	7	0	0	0	0	5	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	6	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	16	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	0	0	3	0	2	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	4	0	0	1
Deadspin	1	2	2	1	0	1	0	0	1	3	0	0	0	1	1	2	1	1	0	0	1	2	0	2	4	0	0	0	2	24	1	1	1	0	0	0	2	1	0	0	1	0	3	2	0	0	0	0	2	0	0	2	1	0	0	0	5	0	0	0	0	0	4	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	2	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	2	0	0	0	4	0	2	0	3	4	1	2	1	1	0	0	0	2	3	0	0	1	0	1	2	0	2	2	2	0	2	7	0	1	0	6	0	1	1	1	2	0	0	0	2	0	1	0	1	0	1	2	0	0	0	0	0	0	1	1	8	3	6	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	3	3	3	1	3	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	4	0	0	2	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	1	0	1	0	2	0	0	1	3	0	0	1	0	0	0	0	3	0	2	0	2	0	0	1	1	0	2	0	0	1	2	0	1	5	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	1	0	1	0	0	1	1	0	0	0	0	0	3	1	0	0	2	0	0	0	0	0	0	1	1	1	2	1	2	1	0	1	0	0	1	0	0	1	0	0	3	1	0	0	1	0	1	2	0	1	0	0	0	4	0	0	1	2	6	0	0	0	0	1	2	0	0	0	0	1	0	0	3	0	0	0	1	6	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	1	0	2	0
Tech	0	0	2	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	6	1	0	0	0	0	0	1	1	0	0	0	2	1	1	1	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	1	2	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	0	1	0	0	1	1	0	2	0	1	0	0	0	0	1	0	1	0	0	1	7	0	1	0	0	0	2	0	0	0	2	3	0	0	0	0	1	1	0	1	0	0	0	4	0	0	4	1	0	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	4
Engadget RSS Feed	1	1	3	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	1	4	1	0	0	1	0	2	0	2	3	0	0	0	1	1	0	0	8	0	0	2	0	0	0	2	0	0	2	1	4	0	1	0	0	0	1	1	3	1	1	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	2	0	2	0	0	2	1	0	1	2	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	2	1	1	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	3	2	2	1	0	0	1	0	0	0	0	0	1	2	0	1	0	1	2	1	0	0	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	5	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	2	0	0	1	3	0	2	0	0	0	2	1	5	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	1	1	0	0	1	2	0	0	0	1	0	0	7	1	0	0	0	1	3	3	0	0	0	2	0	0	0	0	0	3	1	0	1	3	0	1	1	2	2	0	1	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	3	13	1	0	0	0	0	1	0	0	0	2	0	0	3	0	0	0	2	1	0	0	1	0	2	0	0	0	6	0	0	1	2	1	0	0	0	0	0	0	3	1	2	5	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	11	0	0	0	6	6	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	2	7	0	0	1	0	3	1	0	1	1	2	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	0	2	0	0	0	0	2	1	0	0	0	0	1	1	0	6	0	0	0	0	3	0	1	2	0	2	1	2
Gapingvoid	1	0	0	0	0	0	1	1	1	6	2	1	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	11	0	0	2	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gothamist	1	0	2	0	0	0	0	0	1	10	0	2	0	2	0	1	2	1	1	1	2	0	1	0	1	1	7	0	7	0	2	1	2	0	0	2	1	0	0	6	0	0	1	1	2	2	2	2	3	3	0	0	5	2	0	2	5	0	1	0	0	1	0	0	2	0	1	2	0	2	0	0	1	0	0	0	2	0	5	2	0	0	0	3	3	0	0	5	1	0	0	0	2	1	3	4	0	0	1	2	1	7	0	0	1	5	1	9	7	2	0	1	3	0	2	0	1	4	0	0	0	0	0	0	0	5	2	7	2	0	2	1	4	0	4	7	0	2	2	1	2	0	0	4	1	0	3	3	1	1	7	5	0	0	1	0	2	2	0	7	0	5	4	1	7	0	0	1	0	0	1	1	1	4	4	1	1	0	0	8	0	0	6	5	6	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	3	0	1	0	2	3	2	2	0	1	3	2	0	2	0	2	1	0	0	4	1	2	1	1	0	0	0	2	0	0	1	0	0	0	1	3	2	0	3	0	0	0	2	0	0	1	0	0	0	0	0	1	2	0	2	0	2	0	1	9	2	1	0	1	1	0	3	0	3	3	0	1	1	0	0	0	7	4	0	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	1	2	0	0	1	1	0	4	1	1	2	3	0	0	2	0	1	0	2	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	1	2	0	5	4	1	2	2	5	0	0	0	0	5	1	5	0	0	1	0	0	0	0	0	0	1	0	0	7	2	0	2	0	0	2	1	12	0	2	2	0	2	0	3	0	0	4	2	1	0	1	1	0	3	0	2	0	0	0	1	1	3	1	0	0	2	0	0	1	2	0	0	2	0	0	0	0	0	2	1	4	0	0	4	0	1	7	0	1	2	1	2	2	10	0	0	0	1	2	0	2	0	0	0	0	0	1	1	0	5	0	5	4	2	4	0	1	5	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	0	2	4	0	2	0	0	0	4	0	0	0	0	1	3	0	1	0	1	0	0	3	2	1	0	1	1	2	0	0
Joel on Software	0	0	1	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	3	0	0	0	1	1	0	1	0	0	10	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
