Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,160x600,3523,15798,1059,14739
DO NOT USE Tier 1,300x100,1,0,0,0
ocfta local madison sx,320x50,1,31,0,31
ttd male sx,300x50,6,180,5,175
/All Apps/Google Play/Games/Music,300x250,1,0,0,0
DCPA rt black sx,300x250,5,14,0,14
DO NOT USE Invite US Expandable Enabled Sites,160x600,138,530,37,493
DO NOT USE Tier 3 (2),300x50,5,181,4,177
mogo marks video branding extended reach tail aggregate sx,320x100,103,146,42,104
ttd real estate sx,300x600,6,22,1,21
mogo education sx,160x600,95,388,23,365
mogo marks lal branding (All) platinum sx,300x50,15,599,11,588
mogo marks ttd obx kitchen premium sink sx,336x280,3,12,1,11
mogo marks wsj sx x4v,300x600,38,198,13,185
mogo marks xsl_74205 (2p dims) sx ,336x280,0,2,0,2
Android Top Selling Free Health and Fitness,300x600,16,2,1,1
Pac Fox Atlanta EXCLUSION List,300x50,0,48,0,48
mogo marks lal (purchase) silver sx,300x50,101,4092,70,4022
sfjazz travel sx,320x50,303,388,313,75
/All Apps/Google Play/Games/Casual,300x50,3,0,0,0
APACTix Sitelist sx,320x50,12,23,0,23
Android Top Selling Free Entertainment,320x100,1,0,0,0
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,970x250,1528,3012,432,2580
mogo lydia peacecenter test,970x250,1105,1760,317,1443
mogo CBS Interactive sx,300x600,22,113,3,110
mogo marks native (sharethrough) unique can sx,320x50,7568,8587,1963,6624
mogo marks natl elite cat-aff-im sx,300x600,109,649,41,608
mogo t1 brand sx,336x280,2,2,1,1
Top Performing Sites,160x600,135,119,27,92
mogo marks kpi achievers sx,970x250,534,1267,251,1016
mogo marks native sx xsl1045 class c,200x200,0,1,0,1
mogo marks perf arts sx 5 rx1,160x600,88,688,34,654
ocfta local madison sx,728x90,2,21,0,21
sfoc pslx 2018 sx (Jun_2018),300x600,218,1788,196,1592
ttd health wellness sx,250x250,0,2,0,2
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,300x50,104,2566,76,2490
mogo cult soph sx,970x90,6,5,1,4
mogo education sx,336x280,1,1,1,0
mogo marks los angeles sx,320x50,123,106,50,56
mogo marks pav kpi sx 2,160x600,140,809,38,771
sfoc pslx 2019 sx (Mar_2019),160x600,123,580,80,500
ttd spanish sx,728x90,46,157,18,139
/All Apps/Google Play/Business,300x250,1,0,0,0
DO NOT USE Invite US Expandable Enabled Sites,336x280,0,1,0,1
dbm video sx,200x200,0,1,0,1
maryland-dc sx,300x250,135,74,52,22
mogo marks branding max reach sx,250x250,6,26,0,26
mogo marks perf arts silver sx,300x50,1,28,0,28
ttd weather sx,160x600,1,8,0,8
/All Apps/Apple App Store/Newsstand/Regional News,300x250,283,15,7,8
KCPA Local sx,300x250,0,15,0,15
Lynn Undergrad,728x90,30,123,21,102
mogo marks nyc sx,320x50,2407,955,549,406
mogo marks xsl_74205 sx ,970x250,1071,2088,398,1690
/All Apps/Google Play/Games/Puzzle,336x280,1,0,0,0
DO NOT USE Tier 1* (CHANNEL),250x250,2,6,0,6
Pac Fox Atlanta EXCLUSION List,320x50,140,158,37,121
mogo marks chicago sx,160x600,33,58,17,41
mogo marks lal (purchase) silver sx,320x50,13886,23789,6224,17565
/All Apps/Google Play/Games/Casual,320x50,132,34,26,8
allan- UOC  high click rate /  converter list ,320x50,0,1,0,1
/All Apps/Apple App Store/Music,300x50,3,0,0,0
Android Movers and Shakers,320x50,117,19,19,0
DO NOT USE Tier 2* (CHANNEL),970x90,4,9,0,9
at black perf arts sx 7,320x50,1,0,0,0
mogo marks native sx xsl1045 class a,970x250,409,234,22,212
mogo marks t1 brand sx trim,970x90,11,4,0,4
/All Apps/Apple App Store/Games/Role Playing,320x50,2,0,0,0
/All Apps/Google Play/Personalization,320x50,13,2,2,0
Android Top Selling Free Photography,320x50,85,3,3,0
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,970x90,17,20,0,20
Diablo DVC Shortlist (Advertiser Level),728x90,28,8315,72,8243
mogo black rt sx,728x90,0,7,0,7
mogo marks branding drhbx gold sx,250x250,0,6,0,6
mogo marks branding drhbx platinum sx,336x280,0,1,0,1
mogo marks playbill 5 sx x9z,300x600,0,1,0,1
mogo marks xsl_800p sx,728x90,6293,33060,2091,30969
/All Apps/Google Play,728x90,203,15,14,1
DO NOT USE Tier 3 (2),320x50,757,995,234,761
mogo marks lal branding (All) platinum sx,320x50,4188,6280,3318,2962
mogo marks video branding extended reach tail aggregate sx,336x280,7,9,0,9
sfoc kpi sx (acquisition 2019),728x90,33,316,25,291
bbb kpi sx (2019),160x600,1,6,0,6
mogo marks branding drhbx platinum sx,320x100,3,16,0,16
mogo marks disney sx,728x90,8,65,3,62
mogo marks native high reach tail aggregate sx,320x50,25472,35027,9675,25352
mogo marks shakespeare sx,300x250,11,6,4,2
/All Apps/Google Play/Communication,320x50,64,5,3,2
Stratford KPI sx,320x50,11,124,7,117
education master sx,970x90,3,6,0,6
kid safe sx,320x100,5,32,2,30
mogo marks elite kpi achievers sx,300x600,137,580,56,524
mogo marks natl cat-aff-im sx,320x50,4604,4883,1356,3527
mogo marks natl cat-aff-im sx,728x90,617,4130,272,3858
mogo marks outbound kpi sx x1a,336x280,0,1,0,1
mogo marks perf arts gold sx,728x90,66,356,27,329
/All Apps/Apple App Store/Music,300x250,95,3,3,0
Duxiana- Bad Site List(Allan) ,300x250,24,0,0,0
mogo marks agg sx xsl37589,320x100,154,308,57,251
mogo marks jazz & blues sx,728x90,11,36,1,35
mogo marks san francisco sx,320x50,357,502,148,354
mogo marks video branding medium reach tail aggregate sx,320x100,125,179,44,135
ttd tech sx,970x90,3,2,0,2
/All Apps/Apple App Store/Productivity,728x90,33,0,0,0
5a kpi sx,728x90,1,2,0,2
Android Top Selling Free Game,300x50,59,0,0,0
Broadway sx,160x600,1,1,0,1
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,200x200,0,2,0,2
SP black sx,300x250,0,1,0,1
mogo financial services kpi sx,728x90,930,1924,87,1837
mogo marks branding elite tier sx xls37852,320x50,347,1526,147,1379
mogo marks branding increased reach sx,970x90,31,35,1,34
mogo marks natl cat-aff-im sx 2,320x100,12,21,7,14
mogo marks video sx xsl44760 class c,320x50,13474,17281,5971,11310
Broadway sx,300x250,0,1,0,1
mogo CBS Interactive sx,160x600,8,43,0,43
mogo marks lal (purchase) gold sx,728x90,1616,10563,528,10035
mogo marks native sx xsl1045 class a,300x600,366,1375,85,1290
mogo marks perf arts silver sx,336x280,0,1,0,1
mogo marks perf arts sx 5 rx1,970x90,0,1,0,1
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,250x250,10,13,0,13
mogo marks native (sharethrough) unique can sx,970x90,1,4,0,4
mogo marks natl cat-aff-im sx 2,300x50,9,217,6,211
/All Apps/Apple App Store/Games/Casino,300x250,94,3,3,0
education master sx,320x100,22,21,11,10
kid safe sx,300x50,23,265,9,256
pac esports sx,320x50,408,941,92,849
/All Apps/Apple App Store/Sports,300x600,3,0,0,0
/All Apps/Google Play/Books & Reference,300x600,29,2,2,0
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,336x280,9,4,0,4
South Coast Rep Perf Arts 5 black sx,300x600,0,1,0,1
mogo marks agg sx xsl37589,300x50,267,9148,210,8938
mogo marks pav kpi sx 2,970x90,1,4,0,4
mogo marks video branding medium reach tail aggregate sx,300x50,192,5321,133,5188
ttd tech sx,320x100,0,3,0,3
sfoc rtx kpi sx,970x250,0,4,0,4
ttd real estate sx,160x600,0,6,0,6
ttd weather sx,970x90,3,0,0,0
/All Apps/Google Play/Games/Educational,300x600,1,0,0,0
RCU KPI Sitelist 1 (CPA),320x50,12,86,2,84
Stratford KPI revised,300x600,30,342,37,305
Top Performing Sites,320x50,222,124,76,48
mogo marks branding tier 1 sx xls37852,336x280,3,10,1,9
mogo marks perf arts sx 5 rx1,320x50,257,1253,118,1135
/All Apps/Apple App Store/Utilities,300x50,6,0,0,0
DCPA video local sx,970x250,1,1,1,0
mogo marks pav kpi sx 2,728x90,316,2364,126,2238
sfoc pslx 2019 sx (Mar_2019),728x90,290,3723,245,3478
/All Apps/Apple App Store/Games/Board,300x600,2213,367,344,23
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,320x50,35837,45699,11895,33804
mogo marks disney sx,160x600,1,0,0,0
mogo marks video sx xsl44760 class b,250x250,0,3,0,3
ttd weather sx,728x90,70,249,30,219
mogo marks xsl_74205 (4p dims) sx ,320x100,0,4,0,4
provident shortlist ,320x50,18867,23720,7349,16371
ttd health wellness sx,300x600,48,283,9,274
ttd news sx,300x250,5601,13723,1727,11996
/All Apps/Apple App Store/Games/Card,160x600,131,1,1,0
DO NOT USE Tier 1* (CHANNEL),970x90,11,12,1,11
Duxiana - KPI sx,300x600,131,32,12,20
Duxiana - Underperformance Blacklist,160x600,22,1,0,1
mogo marks branding max reach sx,300x600,6235,25315,2204,23111
mogo marks jazz & blues sx,160x600,0,2,0,2
mogo marks pav kpi sx 3,300x50,8,104,5,99
mogo marks perf arts sx 5 rx1,728x90,147,752,50,702
mogo marks xsl_ks0001 sx,336x280,4,13,2,11
sfoc pslx 2019 sx (Mar_2019),320x50,1282,5386,775,4611
ttd travel sx,300x50,0,30,0,30
mogo marks elite kpi achievers sx,970x90,1,5,0,5
mogo mba tier 2 sx,300x600,347,1874,157,1717
/All Apps/Apple App Store/Weather,320x50,284,8,5,3
DO NOT USE Invite US Expandable Enabled Sites,970x250,22,27,8,19
Mogo DBM premium video sx,160x600,327,900,120,780
mogo education sx,970x250,31,72,6,66
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,336x280,23,13,1,12
Mogo DBM basic video sx,336x280,3,0,0,0
Mogo dating sx,300x600,0,10,0,10
mogo marks perf arts sx 11,160x600,60,449,26,423
mogo music sx,970x250,2,5,1,4
mogo sf local sx,160x600,4,13,5,8
ttd beauty sx,300x600,24,266,8,258
bbb kpi sx (2019),970x250,2,8,0,8
mogo black sx,320x100,4,0,0,0
/All Apps/Apple App Store/Health & Fitness,320x50,32,0,0,0
RCU KPI Sitelist 1 (CPA),728x90,1,16,0,16
Top Performing Sites,970x250,94,31,11,20
mogo marks native standard reach (no) tail aggregate sx,200x200,0,2,0,2
Brandcast Blacklist ,160x600,91,240,17,223
Lynn DMAC,320x50,1,3,1,2
mogo biz-fi sx,728x90,262,1886,132,1754
ttd male sx,320x50,950,1362,275,1087
ttd sports sx,320x50,952,1037,185,852
mogo marks expedia sx,160x600,24,230,9,221
mogo marks perf arts sx 5 rx1,970x250,50,195,63,132
/All Apps/Apple App Store,970x90,1,0,0,0
Android Top Selling Free Social,300x250,135,17,14,3
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,970x250,2076,3961,681,3280
DO NOT USE Rubicon,250x250,0,1,0,1
Diablo Blacklist ,300x250,2,174,14,160
mogo marks perf arts gold sx,160x600,76,607,29,578
DO NOT USE AppNexus - Collective Media,728x90,1356,6803,441,6362
DO NOT USE Tier 2* (CHANNEL),300x250,1414,7100,401,6699
mogo marks bwwpb sx,728x90,29,127,12,115
mogo marks pav kpi sx 2,320x100,0,4,0,4
mogo marks perf arts branding high reach sx,300x600,57,280,44,236
mogo marks stratford (canada) sx,728x90,5,27,4,23
mogo marks toronto sx,300x600,70,274,39,235
sfoc pslx 2018 sx (Jun_2018_Archived),320x50,1018,4577,599,3978
/All Apps/Apple App Store/Finance,320x50,22,0,0,0
mogo marks branding comp rate platinum video sx,300x600,1370,3345,453,2892
mogo marks ticketing sx,300x250,12,277,2,275
ttd spanish sx,300x100,1,0,0,0
ttd travel sx,200x200,0,1,0,1
mogo cult soph sx,300x50,17,340,21,319
mogo marks branding elite tier sx xls37852,336x280,0,1,0,1
mogo marks kpi mdx sx xls9297,970x250,590,1609,297,1312
mogo marks lal (purchase) silver sx,320x100,83,155,41,114
mogo marks native high reach tail aggregate sx,336x280,10,25,3,22
mogo marks natl cat-aff-im sx 2,970x90,2,6,0,6
mogo marks ttd obx kitchen premium sink sx,250x250,1,16,0,16
mogo marks video sx xsl44760 class c,336x280,6,9,0,9
ttd real estate sx,320x50,29,69,8,61
/All Apps/Apple App Store/Games/Arcade,300x250,5,0,0,0
Android Top Selling Free Health and Fitness,320x50,10,3,1,2
mogo CBS Interactive sx,320x50,558,458,114,344
mogo marks natl elite cat-aff-im sx,320x50,295,1207,163,1044
mogo marks t1 brand kpi sx x8t,300x50,7,113,4,109
mogo t1 brand sx,250x250,1,3,0,3
pac motorsports sx,300x600,24,95,3,92
DO NOT USE Android Top Selling Free Media and Video,300x600,2,1,1,0
finn dallas native sx,728x90,70,178,28,150
mogo marks lal branding (All) platinum sx,320x100,5,12,0,12
sfoc 2018 marks stratford premium sx,160x600,98,450,56,394
ttd family parent sx,160x600,47,179,12,167
/All Apps/Google Play/Games/Music,728x90,1,0,0,0
DO NOT USE,160x600,1,0,0,0
DO NOT USE Microsoft Bin (001),970x250,273,1,1,0
co top 41 converting,970x250,1,0,0,0
mogo marks agg sx xsl37589,970x90,32,39,1,38
mogo marks xsl_ks0001 sx,300x250,14244,47859,4311,43548
ttd food sx,300x250,328,2840,139,2701
/All Apps/Apple App Store/Games/Casino,320x50,69,1,1,0
/All Apps/Apple App Store/News,300x50,7,0,0,0
bbb kpi sx (2019),728x90,2,101,0,101
mogo marks ttd obx kitchen premium sink sx,Unknown,575,35,0,35
mogo marks xsl_74205 sx ,300x50,16,458,18,440
mogo marks xsl_ks0001 sx,160x600,3214,10851,991,9860
mogo marks xsl_ks20780 sx,320x100,133,251,52,199
ttd news sx,970x90,7,2,0,2
/All Apps/Apple App Store/Games/Puzzle,160x600,19,3,2,1
DO NOT USE Mobile - MoPub - Online Communities,300x50,4,0,0,0
DO_NOT_USE Mobile - MoPub - Games,300x600,3,0,0,0
Mogo DBM select video sx,300x250,193,1615,55,1560
Portland Center Stage KPI sx,300x250,0,9,0,9
mogo marks perf arts sx 7,320x100,0,4,0,4
mogo music sx,728x90,26,79,4,75
ttd sports sx,250x250,0,1,0,1
Broadway sx,320x50,0,3,0,3
Duxiana - Longtail Blacklist,970x250,2,0,0,0
mogo education sx,728x90,279,1590,158,1432
mogo marks kpi mdx sx xls9297,970x90,2,4,0,4
mogo marks perf arts sx 5 epx1,970x250,50,195,63,132
mogo sports sx,160x600,40,113,1,112
/All Apps/Apple App Store/Entertainment,160x600,24,3,2,1
DO NOT USE Invite US Expandable Enabled Sites,728x90,165,906,55,851
ttd family parent sx,300x250,1117,2833,332,2501
/All Apps/Apple App Store/Food & Drink,728x90,13,2,1,1
5a local sx seattle,320x50,1,5,1,4
mogo marks agg sx xsl37589,200x200,0,3,0,3
mogo marks lal branding (All) gold sx,300x250,4197,21943,1448,20495
mogo marks perf arts branding high reach sx,336x280,0,1,0,1
mogo marks ticketing sx,160x600,5,91,3,88
ttd male sx,250x250,0,1,0,1
Android Top Selling Free Entertainment,300x600,266,112,92,20
mogo marks sacramento sx,300x50,1,20,6,14
/All Apps/Apple App Store/Games/Strategy,300x250,1,0,0,0
mogo marks pav kpi sx 3,160x600,21,41,2,39
mogo marks xsl_ks20780 sx,250x250,5,22,0,22
DO NOT USE Mobile - MoPub - Arts & Entertainment/Music & Audio,300x250,81,3,3,0
Mogo DBM premium video sx,970x90,4,6,0,6
mogo marks branding drhbx gold sx,320x50,6018,10036,3890,6146
mogo marks branding drhbx platinum sx,300x600,202,1510,95,1415
mogo marks video branding extended reach tail aggregate sx,300x600,3346,10709,1162,9547
ttd male sx,320x100,5,0,0,0
ttd sports sx,320x100,2,9,0,9
/All Apps/Google Play/Games/Arcade,728x90,5,0,0,0
/All Apps/Google Play/Games/Puzzle,300x600,152,37,37,0
mogo marks native medium reach tail aggregate sx,300x250,10329,34828,3079,31749
ttd travel sx,160x600,106,791,41,750
/All Apps/Apple App Store/Social Networking,300x250,28,1,1,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,728x90,7874,37057,2488,34569
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,970x250,1470,2842,421,2421
DO NOT USE Tier 1* (CHANNEL),320x50,14384,18622,6107,12515
mogo marks branding comp rate silver video sx,300x250,7717,20861,2242,18619
mogo marks branding drhbx silver sx,300x250,8404,33835,2858,30977
/All Apps/Apple App Store/Games/Dice,728x90,25,1,1,0
/All Apps/Google Play/Lifestyle,300x250,11,2,0,2
DO NOT USE Tier 1* (CHANNEL),200x200,0,1,0,1
mogo marks ballet sx,300x250,4,14,2,12
mogo marks natl elite cat-aff-im sx,160x600,55,389,22,367
mogo marks perf arts gold sx,300x600,27,85,20,65
ttd gaming sx,320x50,843,880,254,626
/All Apps/Google Play/Tools,320x50,119,20,12,8
5a local sx seattle,300x250,1,11,1,10
mogo financial services kpi sx,300x600,559,2722,201,2521
mogo marks branding drhbx platinum sx,300x50,3,121,0,121
sfoc rtx kpi sx,728x90,2,36,0,36
/All Apps/Google Play/Games/Puzzle,300x50,10,0,0,0
DO NOT USE Tier 2* (CHANNEL),160x600,203,876,48,828
maryland-dc sx,970x250,47,20,5,15
mogo marks agg sx xsl37589,120x600,1,0,0,0
mogo marks branding drhbx silver sx,300x50,121,4458,89,4369
/All Apps/Apple App Store,320x50,3438,96,51,45
/All Apps/Google Play/Games/Card,320x50,107,11,10,1
mogo marks jazz & blues sx,300x600,5,31,1,30
mogo mba tier 1 sx,320x50,105,271,58,213
mogo marks lal (purchase) platinum sx,970x90,3,0,0,0
Performing Arts Fort Worth Perf Arts 5 black sx,970x250,0,1,0,1
mogo marks video sx xsl44760 class c,160x600,1409,3919,403,3516
at atlanta sx,320x50,5,16,1,15
mogo marks bay area sx,970x250,4,8,2,6
mogo marks branding tier 1 sx xls37852,970x90,18,21,1,20
mogo marks branding tier 2 sx xls37852,970x250,1343,3249,599,2650
mogo marks lal (purchase) platinum sx,320x100,1,5,0,5
mogo marks perf arts platinum sx,160x600,76,607,29,578
mogo marks san francisco sx,160x600,3,5,1,4
mogo marks xsl66781 sx,970x250,785,2036,383,1653
dbm native sx (adx),970x90,3,3,0,3
mogo marks lal (purchase) gold sx,300x250,3622,17321,1359,15962
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,336x280,32,24,2,22
mogo marks branding elite tier sx xls37852,160x600,82,611,33,578
mogo marks hq100p sx,970x250,1358,2649,487,2162
mogo marks natl canada cat-aff-im sx,970x90,2,4,0,4
mogo marks sacramento sx,300x250,10,24,3,21
pac esports sx,300x600,147,1314,55,1259
sfjazz travel sx,160x600,5,37,4,33
DO NOT USE AppNexus - Collective Media,160x600,469,1239,128,1111
Stratford KPI sx,160x600,0,35,0,35
mogo marks t1 brand sx trim,250x250,1,3,0,3
/All Apps/Google Play/Tools,336x280,3,0,0,0
kid safe sx,728x90,1259,2965,184,2781
DO NOT USE Tier 1,320x100,49,86,19,67
mogo marks video branding medium reach tail aggregate sx,728x90,5580,29340,1968,27372
mogo music sx,160x600,6,20,0,20
sfoc cix sx,728x90,0,4,0,4
ttd music sx,728x90,40,160,7,153
5a kpi sx,320x50,0,3,0,3
Performing Arts Fort Worth sx,728x90,6,84,2,82
mogo marks branding comp rate silver video sx,320x100,42,53,20,33
mogo marks branding drhbx silver sx,320x100,95,199,45,154
mogo marks disney sx,320x50,19,28,6,22
mogo marks video branding max reach tail aggregate sx,300x50,216,5995,161,5834
mogo marks wine sx,300x250,15,128,9,119
Duxiana - Underperformance Blacklist,728x90,40,2,1,1
Mogo DBM select video sx,250x250,0,1,0,1
magic theatre top performing sx,300x250,221,185,116,69
/All Apps/Google Play/Games/Music,300x600,1,0,0,0
finn dallas native sx,300x600,31,65,14,51
mogo marks agg sx xsl37589,728x90,8687,45690,2918,42772
mogo marks branding drhbx platinum sx,728x90,275,1608,107,1501
mogo marks native medium reach tail aggregate sx,320x100,102,146,49,97
mogo marks video branding extended reach tail aggregate sx,970x250,1656,2992,531,2461
ttd gaming sx,336x280,0,1,0,1
/All Apps/Apple App Store/Photo & Video,320x50,157,0,0,0
/All Apps/Google Play/Games/Simulation,728x90,5,0,0,0
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,300x250,12667,40567,3337,37230
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,320x100,53,97,25,72
Nashville Local sx,970x250,0,11,0,11
education master sx,160x600,591,2826,137,2689
mogo marks natl canada cat-aff-im sx,320x50,365,2566,196,2370
mogo marks seattle sx,728x90,63,111,15,96
dbm native sx (adx),320x50,6109,7277,3984,3293
mogo marks pav kpi sx 2,300x600,725,2716,302,2414
sfoc pslx 2019 sx (Mar_2019),300x600,242,2102,203,1899
ttd tech sx,160x600,302,305,67,238
/All Apps/Apple App Store/Education,320x50,154,5,4,1
Lynn General,160x600,86,372,33,339
ttd weather sx,300x600,392,637,96,541
/All Apps/Google Play/Education,300x600,3,0,0,0
/All Apps/Google Play/Finance,300x600,86,1,1,0
/All Apps/Google Play/Travel & Local,320x50,11,10,0,10
mogo marks branding tier 3 sx xls37852,970x90,14,13,1,12
mogo marks lal branding (All) silver sx,300x50,132,5540,100,5440
mogo marks video sx xsl44760 class a,250x250,0,1,0,1
Android Top Selling Free Business,300x250,5,0,0,0
mogo canada t1 sx,320x100,16,16,11,5
mogo marks branding tier 1 sx xls37852,160x600,3548,15831,1210,14621
sfoc 2018 marks stratford premium sx,300x600,198,1631,181,1450
ttd family parent sx,300x600,32,149,3,146
/All Apps/Apple App Store/Food & Drink,320x50,16,0,0,0
Mogo DBM select video sx,300x600,105,980,48,932
Provident High CTR List ,728x90,6,0,0,0
mogo biz-fi sx,250x250,0,1,0,1
mogo marks branding tier 2 sx xls37852,300x250,7845,30167,2705,27462
mogo marks cincinnati sx,300x50,1,1,0,1
mogo marks xsl66781 sx,300x250,3880,12308,1223,11085
mogo music sx,320x50,72,371,48,323
ttd education sx,160x600,519,2438,122,2316
DO NOT USE AppNexus - Collective Media,250x250,0,1,0,1
DO NOT USE Tier 1* (CHANNEL),300x100,1,0,0,0
mogo marks perf arts sx 7,970x250,24,132,52,80
DO NOT USE Invite US Expandable Enabled Sites,320x50,712,856,190,666
Performing Arts Fort Worth Perf Arts 5 black sx,300x250,1,2,0,2
bbb kpi sx (2019),320x50,11,161,7,154
mogo black sx,728x90,347,1092,80,1012
mogo marks dallas sx,728x90,12,184,4,180
mogo marks native standard reach (no) tail aggregate sx,300x250,8486,29958,2488,27470
mogo marks xsl_ks20780 sx,970x250,2043,3767,684,3083
/All Apps/Google Play/Productivity,300x250,2,0,0,0
DO NOT USE Spanish Language Sites,300x50,1,20,0,20
DO NOT USE Tier 2* (CHANNEL),336x280,1,7,0,7
mogo cult soph sx,320x100,35,40,16,24
mogo education sx,320x50,759,1064,191,873
mogo marks bay area sx,300x250,173,737,102,635
mogo marks hq100p sx,300x250,7342,23680,2263,21417
mogo marks kpi achievers sx,300x50,0,20,0,20
mogo marks lal branding (All) gold sx,300x600,1627,9189,595,8594
mogo marks visual arts sx,300x250,3,3,0,3
/All Apps/Apple App Store/Business,320x50,147,7,5,2
mogo marks natl canada cat-aff-im sx,300x50,0,13,0,13
mogo marks nyc sx,320x100,0,4,0,4
mogo marks perf arts sx 6,300x600,5,43,4,39
mogo marks xsl_800p sx,336x280,4,32,1,31
sfoc stratford hqcat sx,320x50,83,859,51,808
/All Apps/Google Play/Media & Video,300x600,11,3,3,0
mogo marks high intenders sx,970x250,24,123,16,107
mogo marks perf arts sx 11,300x600,5,42,4,38
mogo sf local sx,300x600,83,346,35,311
ttd male sx,160x600,80,180,24,156
/All Apps/Google Play,336x280,8,7,7,0
DO_NOT_USE Mobile - MoPub - Games,728x90,24,1,1,0
Stratford Black RT SX,970x250,2,1,1,0
mogo black sx,970x90,1,1,0,1
mogo marks native (sharethrough) unique us sx,320x50,7636,8680,1970,6710
mogo marks video branding max reach tail aggregate sx,336x280,14,25,3,22
mogo marks xsl_74205 (2p dims) sx ,300x250,5410,15459,1583,13876
sfoc marks kpi sx (062018),970x250,1,41,0,41
zt local austin sx,970x250,9,19,2,17
/All Apps/Apple App Store/Education,300x50,2,0,0,0
DO NOT USE OAM UK,300x250,81,295,10,285
Lynn DMAC,160x600,62,135,27,108
mogo t1 brand sx,300x250,6199,17225,1887,15338
/All Apps/Apple App Store/Newsstand,970x90,1,0,0,0
DSM African American sx,320x50,6,2,0,2
Mogo DBM premium video sx,300x600,1929,5868,666,5202
dbm native sx (adx),300x50,30,428,27,401
/All Apps/Google Play/Games/Role Playing,320x50,16,1,1,0
mogo lydia peacecenter test,300x50,25,539,20,519
mogo marks branding tier 1 sx xls37852,320x50,21054,32446,8373,24073
ttd education sx,728x90,723,3248,277,2971
DO NOT USE Tier 1* (CHANNEL),320x100,49,86,19,67
DO NOT USE Tier 3* (CHANNEL),200x200,0,2,0,2
dbm native sx (adx),970x250,659,637,114,523
mogo marks branding max reach sx,Unknown,575,35,0,35
mogo marks bwwpb sx,300x600,2,36,2,34
mogo marks native (sharethrough) unique us sx,336x280,0,2,0,2
mogo marks xsl_ks0001 sx,320x50,22970,33270,9017,24253
/All Apps/Apple App Store/Education,728x90,33,0,0,0
mogo marks native sx xsl1045 class a,250x250,2,0,0,0
mogo marks natl canada cat-aff-im sx,970x250,501,1436,256,1180
ttd female sx,200x200,0,1,0,1
/All Apps/Apple App Store/Medical,728x90,5,0,0,0
APACTix Sitelist sx,300x250,22,47,0,47
mogo marks native (sharethrough) unique can sx,300x250,1933,6183,503,5680
mogo marks ticketing sx,320x50,6,52,2,50
/All Apps/Google Play/Entertainment,320x50,227,16,9,7
DO NOT USE AppNexus - Collective Media,300x600,1600,3633,463,3170
mogo biz-fi sx,300x600,400,1525,164,1361
mogo marks broadway sx,300x600,5,41,3,38
mogo marks nyt sx,728x90,138,824,48,776
mogo marks stratford (canada) sx,300x600,15,196,20,176
mogo sports sx,320x50,810,870,145,725
/All Apps/Apple App Store/Games/Music,728x90,5,0,0,0
DCPA display local sx,300x250,4,8,1,7
DO NOT USE Mobile - MoPub - Arts & Entertainment/Music & Audio,728x90,4,0,0,0
DO NOT USE Tier 1,728x90,4726,15686,1192,14494
mogo marks rt+ob lt_lq black sx  ,320x50,4,0,0,0
/All Apps,300x250,4392,824,670,154
DO NOT USE Tier 3* (CHANNEL),468x60,0,3,0,3
mogo marks branding drhbx silver sx,728x90,3431,22830,1260,21570
/All Apps/Google Play/Games/Puzzle,320x50,999,147,141,6
mogo marks branding comp rate silver video sx,728x90,2622,8970,844,8126
mogo marks branding drhbx platinum sx,320x50,396,1386,135,1251
mogo marks native medium reach tail aggregate sx,728x90,4384,24370,1462,22908
mogo marks native sx xsl1045 class b,970x90,0,4,0,4
mogo marks video branding extended reach tail aggregate sx,320x50,19111,25039,7794,17245
pac esports sx,970x250,2,2,1,1
/All Apps/Apple App Store/Social Networking,728x90,11,0,0,0
/All Apps/Apple App Store/Travel,320x50,175,3,2,1
/All Apps/Google Play/Books & Reference,300x50,1,4,4,0
Android Top Selling Free Entertainment,320x50,661,40,33,7
DO NOT USE Mobile - MoPub - Arts & Entertainment,300x250,87,4,3,1
DO NOT USE fgu test public channel,300x250,1056,3518,309,3209
mogo canada t1 sx,160x600,111,711,30,681
mogo marks native sx xsl1045 class a,300x50,11,306,6,300
mogo marks perf arts sx 7,160x600,66,529,26,503
/All Apps/Apple App Store/Games/Trivia,320x50,13,0,0,0
mogo marks branding drhbx platinum sx,250x250,0,3,0,3
mogo sf local sx,300x50,4,81,0,81
tz - Local Seattle sx,320x50,9,6,0,6
DO NOT USE Tier 3* (CHANNEL),320x50,10761,14251,3021,11230
